Feature1,Feature2,Feature3,Feature4,CardType,score,Month
1.069222,1.0,-692.22,206.77,Elite,0.8352,1/31/2019
0.40173,1.0,2991.35,44.79,Smart Cash,0.4423,1/31/2019
0.9631053892215572,1.0,616.1399999999994,283.1,Platinum,0.9341,1/31/2019
0.0,,38900.0,0.0,Smart Cash,0.002,1/31/2019
0.007498214,1.0,11116.02,0.0,Elite,0.0335,1/31/2019
0.0,,10000.0,0.0,True Line Gold,0.1038,1/31/2019
0.1516018181818181,1.0,9332.38,0.0,Elite,0.182,1/31/2019
0.3506561538461538,1.0,8441.470000000001,0.0,Smart Cash,0.2943,1/31/2019
1.5486,1.0,-658.32,31.43,Elite,0.9414,1/31/2019
0.2646333333333333,1.0,7500.74,34.72,True Line,0.364,1/31/2019
0.0,,8000.0,0.0,Smart Cash,0.2417,1/31/2019
0.9644711111111112,1.0,319.7600000000002,171.7,True Line,0.8069,1/31/2019
-0.3522,0.0,811.3199999999997,427.23,Elite,0.1678,1/31/2019
0.0201442857142857,1.0,13717.98,10.81,True Line Gold,0.175,1/31/2019
0.059115,1.0,18817.7,0.0,Platinum,0.0113,1/31/2019
0.0270937777777777,1.0,65671.17,0.93,Smart Cash,0.0001,1/31/2019
0.79090875,1.0,1672.729999999999,105.82,Platinum,0.6374,1/31/2019
0.004958678,1.0,12040.0,0.0,Smart Cash,0.0599,1/31/2019
0.0127133333333333,1.0,2961.86,0.0,Platinum,0.2013,1/31/2019
0.6004873684210527,1.0,7590.74,0.0,Smart Cash,0.136,1/31/2019
0.016746739,1.0,18091.86,6.39,True Line,0.015,1/31/2019
0.9147130612244898,0.0,2089.5299999999997,20.2,Elite,0.1503,1/31/2019
0.914384,1.0,214.04,34.63,Smart Cash,0.7015,1/31/2019
0.5292668246445498,1.0,9932.47,143.62,Smart Cash,0.3552,1/31/2019
0.1026979166666666,1.0,8614.1,0.0,True Line,0.2634,1/31/2019
0.304594,1.0,3477.03,19.51,Platinum,0.2269,1/31/2019
0.9225919708029198,0.030895976,1060.4899999999998,9.48,True Line Gold,0.5755,1/31/2019
-0.001814,0.0,5009.07,0.0,Platinum,0.0125,1/31/2019
0.1764376623376623,1.0,6341.43,0.0,Platinum,0.196,1/31/2019
0.6061483606557377,0.2578360272670355,4804.99,28.38,Smart Cash,0.2009,1/31/2019
0.0398371428571428,1.0,6721.14,0.0,Platinum,0.1172,1/31/2019
-0.000496,0.0,20009.92,0.0,Elite,0.0009,1/31/2019
0.93249,1.0,675.1000000000004,155.75,True Line,0.8517,1/31/2019
0.20946,1.0,7905.4,3.15,True Line,0.1998,1/31/2019
0.0,,6200.0,0.0,True Line Gold,0.0885,1/31/2019
0.3890282608695652,1.0,2810.470000000001,33.38,Elite,0.4714,1/31/2019
1.0804253164556965,1.0,-635.36,170.4,Elite,0.8379,1/31/2019
6.666666666666668e-06,1.0,8999.94,0.06,Elite,0.0677,1/31/2019
0.008817,1.0,9911.83,1.53,Elite,0.0489,1/31/2019
0.009499412,1.0,16838.51,0.0,True Line,0.0091,1/31/2019
0.4899775,1.0,6120.27,71.62,True Line Gold,0.4723,1/31/2019
0.117313,1.0,8826.869999999999,108.6,True Line,0.1456,1/31/2019
0.04436789,1.0,10416.39,0.03,Platinum,0.0768,1/31/2019
0.1493225,1.0,6805.42,0.0,Smart Cash,0.4289,1/31/2019
2.1428571428571427e-06,1.0,13999.97,0.03,Platinum,0.0568,1/31/2019
0.0,,3200.0,0.0,Smart Cash,0.11,1/31/2019
0.1275164705882353,1.0,7416.11,12.39,Smart Cash,0.2587,1/31/2019
0.00696,1.0,6951.28,1.42,True Line Gold,0.2169,1/31/2019
0.9108791164658634,1.0,2219.1100000000006,421.28,Platinum,0.9731,1/31/2019
0.09428,1.0,4528.6,0.0,Smart Cash,0.1196,1/31/2019
0.5890599999999999,1.0,205.47000000000003,9.11,Elite,0.7489,1/31/2019
2.0235,1.0,-511.75,17.37,Elite,0.9626,1/31/2019
-0.004955556,0.0,9044.6,0.0,Smart Cash,0.0039,1/31/2019
0.3930412371134021,0.0,11775.0,0.0,True Line Gold,0.0132,1/31/2019
0.0264580152671755,1.0,12753.4,0.0,Elite,0.1251,1/31/2019
0.8988112500000001,1.0,2428.5299999999997,418.02,Platinum,0.9526,1/31/2019
0.0,,400.0,0.0,Elite,0.2683,1/31/2019
0.12927,1.0,6095.11,0.0,Elite,0.0866,1/31/2019
0.066301843,1.0,20261.25,31.24,Smart Cash,0.0273,1/31/2019
0.067104661,1.0,22016.33,26.56,True Line,0.0107,1/31/2019
0.7497596638655462,1.0,2977.860000000001,152.65,Platinum,0.4683,1/31/2019
0.2311062857142857,1.0,13455.64,123.06,Platinum,0.1937,1/31/2019
7.6e-05,1.0,4999.62,0.0,Platinum,0.2892,1/31/2019
0.0,,9200.0,0.0,Platinum,0.1153,1/31/2019
0.9564850340136054,1.0,1279.34,369.81,Smart Cash,0.9005,1/31/2019
0.0,,29500.0,0.0,Smart Cash,0.0116,1/31/2019
0.6672552631578947,1.0,1264.4299999999996,70.71,Smart Cash,0.5486,1/31/2019
0.042353659,1.0,11779.05,7.04,Elite,0.0901,1/31/2019
-5.6e-06,0.0,12500.07,0.0,True Line Gold,0.0134,1/31/2019
