Feature1,Feature2,Feature3,Feature4,CardType,score
0.0,,10000.0,0.0,True Line Gold,0.0668
0.0405515789473684,1.0,9114.76,0.0,Elite,0.0491
0.960208,0.0,795.8400000000001,0.0,Smart Cash,0.461
0.40173,1.0,2991.35,44.79,Smart Cash,0.5373
0.5938310344827585,0.3986516540755237,5889.450000000003,48.78,True Line Gold,0.0801
0.1764376623376623,1.0,6341.43,0.0,Platinum,0.0797
0.044212632,1.0,9079.98,0.0,Smart Cash,0.1109
0.038028125,1.0,18469.86,0.0,Smart Cash,0.0327
0.032274194,1.0,5999.9,0.0,Smart Cash,0.1271
0.8011394117647059,1.0,3380.6299999999987,253.76,Platinum,0.7356
0.1084984771573604,0.0,17562.58,0.0,Platinum,0.0147
-0.005986842,0.0,19113.75,0.0,Smart Cash,0.0076
0.7340624,1.0,6648.439999999999,385.76,True Line Gold,0.8464
0.36118,1.0,1277.64,0.0,True Line Gold,0.519
0.2199807692307692,1.0,10140.25,0.0,Elite,0.1928
0.004958678,1.0,12040.0,0.0,Smart Cash,0.0375
0.9209103333333334,0.0,2372.689999999999,23.62,True Line,0.3799
0.1998969072164948,1.0,7761.0,0.0,True Line,0.0943
0.0,,3000.0,0.0,True Line Gold,0.1743
0.0,,10000.0,0.0,Platinum,0.0519
6.666666666666668e-06,1.0,8999.94,0.06,Elite,0.0804
1.06112,1.0,-1252.96,291.11,Platinum,0.8978
0.033836,1.0,7246.23,-16.5,Elite,0.2164
0.066301843,1.0,20261.25,31.24,Smart Cash,0.041
0.020852,1.0,4895.74,0.0,Smart Cash,0.1045
0.0284516129032258,1.0,6023.6,0.0,Smart Cash,0.1016
0.004749027,1.0,25577.95,0.0,True Line,0.027
0.0,,7500.0,0.0,Platinum,0.0876
0.081947368,1.0,,,Smart Cash,0.176
0.8913924999999999,1.0,,,Platinum,0.6317
0.9631373333333332,0.0,,,True Line,0.5497
0.99585,0.0,,,Platinum,0.2206
-0.000787083,0.0,,,Elite,0.0107
0.002213333,,,,True Line,0.0415
0.0,,,,True Line Gold,0.1113
0.059115,,,,Platinum,0.1755
-1.82e-06,,,,Elite,0.0684
0.0,,,,Smart Cash,0.0405
0.9958592592592592,,,,Elite,0.4308
0.0,,,,True Line,0.1138
0.000403896,,,,True Line,0.1207
0.1984855,,,,Smart Cash,0.1759
-0.000640667,,,,True Line,0.046
0.0,,,,True Line,0.0867
0.0259092857142857,,,,Platinum,0.0863
0.0,,,,True Line Gold,0.0859
0.8490000000000001,1.0,,,True Line,0.6643
0.000827626,1.0,,,Elite,0.1289
-0.001814,0.0,,,Platinum,0.0279
0.0499115789473684,1.0,,,Smart Cash,0.133
0.8017353658536585,0.8833977515237527,,,True Line,0.519
-0.001197667,0.0,,,Smart Cash,0.0269
0.8882753246753247,0.0211587608849485,,,Elite,0.0941
8.3e-05,1.0,,,Platinum,0.091
0.083276923,1.0,,,True Line Gold,0.1038
0.0,,,,Smart Cash,0.047
0.8810916666666667,1.0,,,Smart Cash,0.53
0.9089091954022988,1.0,,,True Line,0.7602
0.7108828,1.0,,,Platinum,0.3422
0.0,,,,Smart Cash,0.1383
0.6326745,1.0,,,Elite,0.1999
0.0223,1.0,,,Platinum,0.0958
1.229916,1.0,,,Platinum,0.7627
0.5776380952380952,1.0,,,Platinum,0.4693
0.015456,1.0,,,Platinum,0.1776
0.0,,,,True Line,0.1244
0.9856213793103448,0.000324668,,,True Line,0.2223
0.2580371428571428,1.0,,,Smart Cash,0.1635
0.040275652,1.0,,,Platinum,0.2036
0.2043056,1.0,39784.72,174.29,Elite,0.0208
0.915668,0.0,843.3199999999997,0.0,True Line Gold,0.1752
0.12927,1.0,6095.11,0.0,Elite,0.0798
0.065199351,1.0,14395.93,7.22,Platinum,0.0358
0.289692,1.0,3551.54,0.0,True Line,0.3415
0.8745322580645161,0.0,2333.7000000000007,14.23,Platinum,0.3113
0.0,,3200.0,0.0,Smart Cash,0.1542
0.1282264285714285,1.0,12204.83,0.0,Smart Cash,0.0735
0.064781111,1.0,25250.91,36.98,True Line Gold,0.0323
0.6061483606557377,0.2578360272670355,4804.99,28.38,Smart Cash,0.2864
-0.000114786,0.0,25702.95,0.0,True Line,0.0014
