MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,Education,Target
1.4007,20,3.902111324,1.124760077,1281,2.458733205,38.5,-121.44,A,0
2.8489,34,4.417773238,1.036772217,2609,2.664964249,32.61,-117.06,C,0
3.4705,32,4.869986169,1.034578147,1706,2.359612725,38.11,-122.57,C,1
2.5,21,3.897810219,1.032846715,1180,4.306569343,33.79,-118.3,A,0
1.947,24,5,1.168539326,1180,4.419475655,36.77,-120.41,B,0
1.8894,39,5.228571429,1.137142857,580,3.314285714,36.04,-119.4,B,0
4.675,33,6.360153257,1.061302682,741,2.83908046,37.99,-122.12,A,1
6.0226,16,6.901554404,1.015544041,640,3.316062176,32.98,-117.04,A,1
4.7361,50,5.539393939,1.012121212,322,1.951515152,33.76,-118.14,B,1
4.5625,36,5.390344828,1.009655172,1688,2.328275862,34.16,-118.05,B,1
4.9115,31,5.231578947,0.959649123,1895,3.324561404,33.84,-117.99,A,1
5.6427,26,7.020560748,1.03364486,1408,2.631775701,37.28,-121.9,C,1
4.8125,18,5.992405063,1.017721519,1021,2.584810127,32.81,-116.83,C,1
8.2934,34,7.006688963,1.147157191,662,2.214046823,34.03,-118.56,C,1
3.4943,40,5.977777778,1.072222222,406,2.255555556,36.63,-121.92,A,1
3.9,7,,1.094339623,747,2.818867925,39.74,-121.87,B,0
7.5674,14,,1.105970149,1505,2.246268657,33.61,-117.85,B,1
2.6914,52,,1.019178082,849,2.326027397,37.86,,B,1
2.5902,17,,1.197122302,1571,2.260431655,34.68,-118.16,A,0
3.0426,9,,1.1536,3773,3.0184,33.13,-117.09,B,0
3.625,31,,1.224299065,185,1.728971963,37.3,-121.91,A,1
2.7153,35,,0.993485342,1026,3.342019544,34,-118.41,A,1
2.9292,33,,1.114893617,1774,2.516312057,33.89,-118.14,C,1
1.975,52,,0.7,193,4.825,36.73,-119.79,B,0
3.6974,10,,1.089159068,2719,2.754812563,34.18,-118.29,B,1
2.788,42,,0.960176991,1997,4.418141593,34.04,-118.18,C,0
5.0369,12,,0.981595092,2173,3.332822086,37.81,-121.21,A,0
3.5774,14,,1.037578288,1371,2.862212944,38.16,-121.14,B,0
6.394,25,,0.930107527,1148,3.086021505,33.74,-118,C,1
3,21,,1.083232811,1511,1.822677925,33.77,-118.03,B,1
4.2312,43,,1.036101083,802,2.895306859,34.12,-118.07,C,1
3.2188,38,,1.035971223,636,2.287769784,32.76,-117.06,A,0
2.35,40,,0.830985915,213,3,35.24,-118.99,B,0
6.4211,19,7.578723404,0.934042553,1584,3.370212766,33.6,-117.69,A,1
3.5039,32,4.205630355,1.062423501,2583,3.161566707,37.65,-122.41,B,1
3.6563,33,5.223021583,0.964028777,1274,4.582733813,34.05,-117.97,C,0
2.375,32,3.350308642,1.037037037,3002,4.632716049,33.79,-118.17,B,0
2.875,37,4.976119403,1.080597015,971,2.898507463,35.37,-118.94,B,0
4.0781,8,5.300925926,1.115740741,447,2.069444444,38.66,-121.26,A,0
2.564,32,4.186554622,1.035294118,2660,4.470588235,34.06,-117.99,B,0
6.0102,12,5.21976593,1.128738622,1605,2.087126138,33.71,-118.04,C,1
3.9833,21,4.311871227,1.136820926,1803,3.6277666,34.25,-118.45,C,0
7.2845,19,7.052631579,0.950764007,2130,3.616298812,33.73,-117.97,C,1
3.4836,27,3.554941258,1.02349689,2518,1.740152039,37.58,-122.33,C,1
3.775,9,6.103626943,1.215025907,1556,4.031088083,34.43,-118.66,B,0
1.7054,40,3.963369963,1.164835165,1085,3.974358974,34.05,-118.2,C,0
5.6582,34,6.092250923,1.007380074,650,2.398523985,32.95,-117.26,B,1
1.8355,26,4.424050633,0.995253165,2017,3.191455696,39.12,-121.58,B,0
4.0089,20,5.747875354,1.011331445,1497,4.240793201,32.58,-117.04,B,0
6.9408,52,5.3125,1.0125,493,3.08125,34.16,-118.24,C,1
3.3188,32,6.420704846,1.083700441,1292,2.845814978,38.66,-121.3,A,0
4.6111,39,6.388632873,1.006144393,1669,2.56374808,33.77,-117.86,A,1
3.4955,15,3.709447415,0.946524064,1617,2.882352941,33.77,-117.99,C,0
2.6726,32,5.005102041,1.017857143,1005,2.56377551,36.77,-119.75,C,0
5.9572,17,5.670384139,1.008674102,1941,2.405204461,37.55,,A,1
3.7321,41,4.586353945,1.008528785,1092,2.328358209,37.34,-121.94,C,1
